symbol;name;sector;industry;weight;
HUM;Humana Inc.;Health Care;Managed Health Care;0.135377;
KLAC;KLA Corporation;Information Technology;Semiconductor Equipment;0.137238;
NXPI;NXP Semiconductors NV;Information Technology;Semiconductors;0.137834;
EOG;EOG Resources Inc.;Energy;Oil & Gas Exploration & Production;0.137961;
CMG;Chipotle Mexican Grill Inc.;Consumer Discretionary;Restaurants;0.139539;
IDXX;IDEXX Laboratories Inc.;Health Care;Health Care Equipment;0.141895;
DXCM;DexCom Inc.;Health Care;Health Care Equipment;0.14208;
ECL;Ecolab Inc.;Materials;Specialty Chemicals;0.144759;
PGR;Progressive Corporation;Financials;Property & Casualty Insurance;0.144871;
FDX;FedEx Corporation;Industrials;Air Freight & Logistics;0.149779;
NOC;Northrop Grumman Corporation;Industrials;Aerospace & Defense;0.151023;
F;Ford Motor Company;Consumer Discretionary;Automobile Manufacturers;0.152119;
APD;Air Products and Chemicals Inc.;Materials;Industrial Gases;0.154351;
ILMN;Illumina Inc.;Health Care;Life Sciences Tools & Services;0.154386;
EMR;Emerson Electric Co.;Industrials;Electrical Components & Equipment;0.154848;
MCO;Moody's Corporation;Financials;Financial Exchanges & Data;0.15631;
REGN;Regeneron Pharmaceuticals Inc.;Health Care;Biotechnology;0.157078;
WM;Waste Management Inc.;Industrials;Environmental & Facilities Services;0.1575;
D;Dominion Energy Inc;Utilities;Electric Utilities;0.15963;
ATVI;Activision Blizzard Inc.;Communication Services;Interactive Home Entertainment;0.162034;
HCA;HCA Healthcare Inc;Health Care;Health Care Facilities;0.16258;
ETN;Eaton Corp. Plc;Industrials;Electrical Components & Equipment;0.163569;
BSX;Boston Scientific Corporation;Health Care;Health Care Equipment;0.163936;
ADSK;Autodesk Inc.;Information Technology;Application Software;0.164726;
ITW;Illinois Tool Works Inc.;Industrials;Industrial Machinery;0.165261;
CL;Colgate-Palmolive Company;Consumer Staples;Household Products;0.170302;
NSC;Norfolk Southern Corporation;Industrials;Railroads;0.17095;
FISV;Fiserv Inc.;Information Technology;Data Processing & Outsourced Services;0.174653;
SO;Southern Company;Utilities;Electric Utilities;0.178266;
AON;Aon Plc Class A;Financials;Insurance Brokers;0.17894;
ICE;Intercontinental Exchange Inc.;Financials;Financial Exchanges & Data;0.180399;
EW;Edwards Lifesciences Corporation;Health Care;Health Care Equipment;0.184033;
EQIX;Equinix Inc.;Real Estate;Specialized REITs;0.185054;
CI;Cigna Corporation;Health Care;Managed Health Care;0.185823;
BDX;Becton Dickinson and Company;Health Care;Health Care Equipment;0.189368;
SHW;Sherwin-Williams Company;Materials;Specialty Chemicals;0.190744;
CSX;CSX Corporation;Industrials;Railroads;0.192232;
CME;CME Group Inc. Class A;Financials;Financial Exchanges & Data;0.193222;
EL;Estee Lauder Companies Inc. Class A;Consumer Staples;Personal Products;0.197028;
TMUS;T-Mobile US Inc.;Communication Services;Wireless Telecommunication Services;0.199545;
FIS;Fidelity National Information Services Inc.;Information Technology;Data Processing & Outsourced Services;0.201656;
CCI;Crown Castle International Corp;Real Estate;Specialized REITs;0.202198;
COF;Capital One Financial Corporation;Financials;Consumer Finance;0.204195;
CB;Chubb Limited;Financials;Property & Casualty Insurance;0.208468;
DUK;Duke Energy Corporation;Utilities;Electric Utilities;0.209068;
MMC;Marsh & McLennan Companies Inc.;Financials;Insurance Brokers;0.21241;
TJX;TJX Companies Inc;Consumer Discretionary;Apparel Retail;0.213112;
GM;General Motors Company;Consumer Discretionary;Automobile Manufacturers;0.214013;
LRCX;Lam Research Corporation;Information Technology;Semiconductor Equipment;0.214893;
MU;Micron Technology Inc.;Information Technology;Semiconductors;0.215312;
TFC;Truist Financial Corporation;Financials;Regional Banks;0.218289;
MDLZ;Mondelez International Inc. Class A;Consumer Staples;Packaged Foods & Meats;0.22309;
USB;U.S. Bancorp;Financials;Diversified Banks;0.224336;
GILD;Gilead Sciences Inc.;Health Care;Biotechnology;0.229259;
MO;Altria Group Inc;Consumer Staples;Tobacco;0.230979;
PNC;PNC Financial Services Group Inc.;Financials;Regional Banks;0.23115;
LMT;Lockheed Martin Corporation;Industrials;Aerospace & Defense;0.232649;
ADP;Automatic Data Processing Inc.;Information Technology;Data Processing & Outsourced Services;0.233879;
SYK;Stryker Corporation;Health Care;Health Care Equipment;0.238998;
ADI;Analog Devices Inc.;Information Technology;Semiconductors;0.241315;
ANTM;Anthem Inc.;Health Care;Managed Health Care;0.247084;
ZTS;Zoetis Inc. Class A;Health Care;Pharmaceuticals;0.252608;
PLD;Prologis Inc.;Real Estate;Industrial REITs;0.253559;
CHTR;Charter Communications Inc. Class A;Communication Services;Cable & Satellite;0.257337;
DE;Deere & Company;Industrials;Agricultural & Farm Machinery;0.26051;
COP;ConocoPhillips;Energy;Oil & Gas Exploration & Production;0.260581;
BKNG;Booking Holdings Inc.;Consumer Discretionary;Internet & Direct Marketing Retail;0.270989;
SPGI;S&P Global Inc.;Financials;Financial Exchanges & Data;0.277933;
MMM;3M Company;Industrials;Industrial Conglomerates;0.27923;
CAT;Caterpillar Inc.;Industrials;Construction Machinery & Heavy Trucks;0.285913;
CVS;CVS Health Corporation;Health Care;Health Care Services;0.29942;
AXP;American Express Company;Financials;Consumer Finance;0.30508;
TGT;Target Corporation;Consumer Discretionary;General Merchandise Stores;0.305416;
SCHW;Charles Schwab Corporation;Financials;Investment Banking & Brokerage;0.309116;
GE;General Electric Company;Industrials;Industrial Conglomerates;0.31237;
MRNA;Moderna Inc.;Health Care;Biotechnology;0.316401;
AMAT;Applied Materials Inc.;Information Technology;Semiconductor Equipment;0.317551;
ISRG;Intuitive Surgical Inc.;Health Care;Health Care Equipment;0.319011;
BLK;BlackRock Inc.;Financials;Asset Management & Custody Banks;0.325039;
AMGN;Amgen Inc.;Health Care;Biotechnology;0.326382;
AMT;American Tower Corporation;Real Estate;Specialized REITs;0.326658;
AMD;Advanced Micro Devices Inc.;Information Technology;Semiconductors;0.335023;
BA;Boeing Company;Industrials;Aerospace & Defense;0.335445;
NOW;ServiceNow Inc.;Information Technology;Systems Software;0.340431;
IBM;International Business Machines Corporation;Information Technology;IT Consulting & Other Services;0.348092;
GS;Goldman Sachs Group Inc.;Financials;Investment Banking & Brokerage;0.352829;
SBUX;Starbucks Corporation;Consumer Discretionary;Restaurants;0.354588;
UPS;United Parcel Service Inc. Class B;Industrials;Air Freight & Logistics;0.354984;
BMY;Bristol-Myers Squibb Company;Health Care;Health Care Distributors;0.356576;
RTX;Raytheon Technologies Corporation;Industrials;Aerospace & Defense;0.362932;
UNP;Union Pacific Corporation;Industrials;Railroads;0.371469;
QCOM;Qualcomm Inc;Information Technology;Semiconductors;0.390263;
LOW;Lowe's Companies Inc.;Consumer Discretionary;Home Improvement Retail;0.391733;
MS;Morgan Stanley;Financials;Investment Banking & Brokerage;0.392822;
INTU;Intuit Inc.;Information Technology;Application Software;0.395407;
C;Citigroup Inc.;Financials;Diversified Banks;0.398805;
HON;Honeywell International Inc.;Industrials;Industrial Conglomerates;0.404044;
PM;Philip Morris International Inc.;Consumer Staples;Tobacco;0.407553;
ORCL;Oracle Corporation;Information Technology;Application Software;0.408863;
LIN;Linde plc;Materials;Industrial Gases;0.417256;
NEE;NextEra Energy Inc.;Utilities;Multi-Utilities;0.422996;
MDT;Medtronic Plc;Health Care;Health Care Equipment;0.458654;
TXN;Texas Instruments Incorporated;Information Technology;Semiconductors;0.485588;
MCD;McDonald's Corporation;Consumer Discretionary;Restaurants;0.496812;
LLY;Eli Lilly and Company;Health Care;Pharmaceuticals;0.497414;
DHR;Danaher Corporation;Health Care;Health Care Equipment;0.51628;
NKE;NIKE Inc. Class B;Consumer Discretionary;Apparel, Accessories & Luxury Goods;0.518225;
ABBV;AbbVie Inc.;Health Care;Pharmaceuticals;0.525005;
WMT;Walmart Inc.;Consumer Staples;Hypermarkets & Super Centers;0.529676;
T;AT&T Inc.;Communication Services;Integrated Telecommunication Services;0.529773;
WFC;Wells Fargo & Company;Financials;Diversified Banks;0.53429;
COST;Costco Wholesale Corporation;Consumer Staples;Hypermarkets & Super Centers;0.535152;
AVGO;Broadcom Inc.;Information Technology;Semiconductors;0.540269;
CVX;Chevron Corporation;Energy;Integrated Oil & Gas;0.55539;
ABT;Abbott Laboratories;Health Care;Health Care Equipment;0.557323;
ACN;Accenture Plc Class A;Information Technology;IT Consulting & Other Services;0.559333;
KO;Coca-Cola Company;Consumer Staples;Soft Drinks;0.559438;
MRK;Merck & Co. Inc.;Health Care;Pharmaceuticals;0.560381;
PEP;PepsiCo Inc.;Consumer Staples;Soft Drinks;0.566513;
INTC;Intel Corporation;Information Technology;Semiconductors;0.593787;
TMO;Thermo Fisher Scientific Inc.;Health Care;Life Sciences Tools & Services;0.610377;
VZ;Verizon Communications Inc.;Communication Services;Integrated Telecommunication Services;0.612241;
CSCO;Cisco Systems Inc.;Information Technology;Communications Equipment;0.625255;
PFE;Pfizer Inc.;Health Care;Pharmaceuticals;0.643703;
CMCSA;Comcast Corporation Class A;Communication Services;Cable & Satellite;0.705667;
XOM;Exxon Mobil Corporation;Energy;Integrated Oil & Gas;0.707718;
CRM;salesforce.com inc.;Information Technology;Application Software;0.716303;
ADBE;Adobe Inc.;Information Technology;Application Software;0.732408;
NFLX;Netflix Inc.;Communication Services;Movies & Entertainment;0.76222;
MA;Mastercard Incorporated Class A;Information Technology;Data Processing & Outsourced Services;0.811111;
PYPL;PayPal Holdings Inc.;Information Technology;Data Processing & Outsourced Services;0.829292;
DIS;Walt Disney Company;Communication Services;Movies & Entertainment;0.860774;
BAC;Bank of America Corp;Financials;Diversified Banks;0.888352;
PG;Procter & Gamble Company;Consumer Staples;Personal Products;0.917543;
HD;Home Depot Inc.;Consumer Discretionary;Home Improvement Retail;0.950397;
