symbol;name;sector;industry;weight;
BF.B;Brown-Forman Corporation Class B;Consumer Staples;Distillers & Vintners;0.033362;
LVS;Las Vegas Sands Corp.;Consumer Discretionary;Casinos & Gaming;0.033614;
HWM;Howmet Aerospace Inc.;Industrials;Aerospace & Defense;0.033626;
XRAY;DENTSPLY SIRONA Inc.;Health Care;Health Care Supplies;0.034135;
LNC;Lincoln National Corporation;Financials;Multi-line Insurance;0.034282;
PTC;PTC Inc.;Information Technology;Application Software;0.034437;
FBHS;Fortune Brands Home & Security Inc.;Industrials;Building Products;0.03449;
LUMN;Lumen Technologies Inc.;Communication Services;Alternative Carriers;0.034845;
IRM;Iron Mountain Inc.;Real Estate;Specialized REITs;0.034878;
CBOE;Cboe Global Markets Inc;Financials;Financial Exchanges & Data;0.03495;
WHR;Whirlpool Corporation;Consumer Discretionary;Household Appliances;0.034985;
LDOS;Leidos Holdings Inc.;Industrials;Diversified Support Services;0.035111;
KIM;Kimco Realty Corporation;Real Estate;Retail REITs;0.035307;
CF;CF Industries Holdings Inc.;Materials;Fertilizers & Agricultural Chemicals;0.03534;
SJM;J.M. Smucker Company;Consumer Staples;Packaged Foods & Meats;0.035656;
LYV;Live Nation Entertainment Inc.;Communication Services;Movies & Entertainment;0.035685;
CTXS;Citrix Systems Inc.;Information Technology;Application Software;0.035799;
MOS;Mosaic Company;Materials;Fertilizers & Agricultural Chemicals;0.036321;
PKG;Packaging Corporation of America;Materials;Paper Packaging;0.036738;
FOXA;Fox Corporation Class A;Communication Services;Movies & Entertainment;0.036762;
BRO;Brown & Brown Inc.;Financials;Insurance Brokers;0.036861;
WRK;WestRock Company;Materials;Paper Packaging;0.037188;
AAP;Advance Auto Parts Inc.;Consumer Discretionary;Automotive Retail;0.037399;
MAS;Masco Corporation;Industrials;Building Products;0.037601;
LKQ;LKQ Corporation;Consumer Discretionary;Distributors;0.037626;
AAL;American Airlines Group Inc.;Industrials;Airlines;0.037664;
LNT;Alliant Energy Corp;Utilities;Electric Utilities;0.038526;
CAH;Cardinal Health Inc.;Health Care;Health Care Distributors;0.038707;
EMN;Eastman Chemical Company;Materials;Diversified Chemicals;0.038843;
JBHT;J.B. Hunt Transport Services Inc.;Industrials;Trucking;0.038961;
EVRG;Evergy Inc.;Utilities;Electric Utilities;0.039024;
NLOK;NortonLifeLock Inc.;Information Technology;Application Software;0.039813;
CNP;CenterPoint Energy Inc.;Utilities;Multi-Utilities;0.040429;
IPG;Interpublic Group of Companies Inc.;Communication Services;Advertising;0.040581;
UDR;UDR Inc.;Real Estate;Residential REITs;0.040701;
ABMD;ABIOMED Inc.;Health Care;Health Care Equipment;0.041127;
CDAY;Ceridian HCM Holding Inc.;Information Technology;Application Software;0.041463;
BIO;Bio-Rad Laboratories Inc. Class A;Health Care;Life Sciences Tools & Services;0.042178;
AES;AES Corporation;Utilities;Independent Power Producers & Energy Traders;0.042265;
PWR;Quanta Services Inc.;Industrials;Construction & Engineering;0.042621;
TXT;Textron Inc.;Industrials;Aerospace & Defense;0.042921;
BXP;Boston Properties Inc.;Real Estate;Office REITs;0.043079;
IEX;IDEX Corporation;Industrials;Industrial Machinery;0.043776;
NVR;NVR Inc.;Consumer Discretionary;Homebuilding;0.04378;
OMC;Omnicom Group Inc;Communication Services;Advertising;0.043945;
K;Kellogg Company;Consumer Staples;Packaged Foods & Meats;0.044108;
UAL;United Airlines Holdings Inc.;Industrials;Airlines;0.044321;
VTRS;Viatris Inc.;Health Care;Pharmaceuticals;0.044542;
CAG;Conagra Brands Inc.;Consumer Staples;Packaged Foods & Meats;0.044651;
MKTX;MarketAxess Holdings Inc.;Financials;Financial Exchanges & Data;0.044783;
PFG;Principal Financial Group Inc.;Financials;Life & Health Insurance;0.045131;
AKAM;Akamai Technologies Inc.;Information Technology;Internet Services & Infrastructure;0.045576;
BBWI;Bath & Body Works Inc.;Consumer Discretionary;Specialty Stores;0.045745;
WAB;Westinghouse Air Brake Technologies Corporation;Industrials;Construction Machinery & Heavy Trucks;0.045925;
TER;Teradyne Inc.;Information Technology;Semiconductor Equipment;0.046236;
STX;Seagate Technology Holdings PLC;Information Technology;Technology Hardware, Storage & Peripherals;0.046336;
CINF;Cincinnati Financial Corporation;Financials;Property & Casualty Insurance;0.046965;
DGX;Quest Diagnostics Incorporated;Health Care;Health Care Services;0.047003;
J;Jacobs Engineering Group Inc.;Industrials;Construction & Engineering;0.047028;
AVY;Avery Dennison Corporation;Materials;Paper Packaging;0.047432;
RJF;Raymond James Financial Inc.;Financials;Investment Banking & Brokerage;0.047553;
CMS;CMS Energy Corporation;Utilities;Multi-Utilities;0.047592;
WDC;Western Digital Corporation;Information Technology;Technology Hardware, Storage & Peripherals;0.047631;
DPZ;Domino's Pizza Inc.;Consumer Discretionary;Restaurants;0.047645;
GWW;W.W. Grainger Inc.;Industrials;Industrial Machinery;0.047719;
ABC;AmerisourceBergen Corporation;Health Care;Health Care Distributors;0.047778;
POOL;Pool Corporation;Consumer Discretionary;Distributors;0.047901;
TFX;Teleflex Incorporated;Health Care;Health Care Equipment;0.047924;
GPC;Genuine Parts Company;Consumer Discretionary;Specialty Stores;0.048054;
FANG;Diamondback Energy Inc.;Energy;Oil & Gas Exploration & Production;0.04809;
CE;Celanese Corporation;Materials;Specialty Chemicals;0.04817;
HOLX;Hologic Inc.;Health Care;Health Care Equipment;0.048519;
MGM;MGM Resorts International;Consumer Discretionary;Casinos & Gaming;0.048956;
PEAK;Healthpeak Properties Inc.;Real Estate;Health Care REITs;0.049049;
AMCR;Amcor PLC;Materials;Paper Packaging;0.04935;
CTRA;Coterra Energy Inc.;Energy;Oil & Gas Exploration & Production;0.049909;
QRVO;Qorvo Inc.;Information Technology;Semiconductors;0.050245;
DRE;Duke Realty Corporation;Real Estate;Industrial REITs;0.050767;
TYL;Tyler Technologies Inc.;Information Technology;Application Software;0.05092;
TECH;Bio-Techne Corporation;Health Care;Life Sciences Tools & Services;0.051005;
TTWO;Take-Two Interactive Software Inc.;Communication Services;Interactive Home Entertainment;0.051009;
PKI;PerkinElmer Inc.;Health Care;Health Care Equipment;0.051718;
BR;Broadridge Financial Solutions Inc.;Information Technology;Data Processing & Outsourced Services;0.052037;
ANET;Arista Networks Inc.;Information Technology;Communications Equipment;0.052828;
HPE;Hewlett Packard Enterprise Co.;Information Technology;Technology Hardware, Storage & Peripherals;0.053266;
EXPD;Expeditors International of Washington Inc.;Industrials;Air Freight & Logistics;0.053318;
MTB;M&T Bank Corporation;Financials;Regional Banks;0.05369;
FE;FirstEnergy Corp.;Utilities;Electric Utilities;0.053774;
