symbol,name,sector,weight
CTVA,Corteva Inc,Materials,0.086563
CTXS,Citrix Systems Inc.,Information Technology,0.035799
CVS,CVS Health Corporation,Health Care,0.29942
CVX,Chevron Corporation,Energy,0.55539
CZR,Caesars Entertainment Inc,Consumer Discretionary,0.065318
D,Dominion Energy Inc,Utilities,0.15963
DAL,Delta Air Lines Inc.,Industrials,0.07766
DD,DuPont de Nemours Inc.,Materials,0.100708
DE,Deere & Company,Industrials,0.26051
DFS,Discover Financial Services,Financials,0.103555
DG,Dollar General Corporation,Consumer Discretionary,0.131752
DGX,Quest Diagnostics Incorporated,Health Care,0.047003
DHI,D.R. Horton Inc.,Consumer Discretionary,0.07336
DHR,Danaher Corporation,Health Care,0.51628
DIS,Walt Disney Company,Communication Services,0.860774
DISCA,Discovery Inc. Class A,Communication Services,0.01157
DISCK,Discovery Inc. Class C,Communication Services,0.020042
DISH,DISH Network Corporation Class A,Communication Services,0.030544
DLR,Digital Realty Trust Inc.,Real Estate,0.109557
DLTR,Dollar Tree Inc.,Consumer Discretionary,0.061146
DOV,Dover Corporation,Industrials,0.061749
DOW,Dow Inc.,Materials,0.119572
DPZ,Domino's Pizza Inc.,Consumer Discretionary,0.047645
DRE,Duke Realty Corporation,Real Estate,0.050767
DRI,Darden Restaurants Inc.,Consumer Discretionary,0.055423
DTE,DTE Energy Company,Utilities,0.05981
DUK,Duke Energy Corporation,Utilities,0.209068
DVA,DaVita Inc.,Health Care,0.02101
DVN,Devon Energy Corporation,Energy,0.068459
DXC,DXC Technology Co.,Information Technology,0.023987
DXCM,DexCom Inc.,Health Care,0.14208
EA,Electronic Arts Inc.,Communication Services,0.111229
EBAY,eBay Inc.,Consumer Discretionary,0.120985
ECL,Ecolab Inc.,Materials,0.144759
ED,Consolidated Edison Inc.,Utilities,0.068342
EFX,Equifax Inc.,Industrials,0.085433
EIX,Edison International,Utilities,0.057349
EL,Estee Lauder Companies Inc. Class A,Consumer Staples,0.197028
EMN,Eastman Chemical Company,Materials,0.038843
EMR,Emerson Electric Co.,Industrials,0.154848
ENPH,Enphase Energy Inc.,Information Technology,0.053836
EOG,EOG Resources Inc.,Energy,0.137961
EQIX,Equinix Inc.,Real Estate,0.185054
EQR,Equity Residential,Real Estate,0.076896
ES,Eversource Energy,Utilities,0.078953
ESS,Essex Property Trust Inc.,Real Estate,0.057424
ETN,Eaton Corp. Plc,Industrials,0.163569
ETR,Entergy Corporation,Utilities,0.055601
ETSY,Etsy Inc.,Consumer Discretionary,0.067003
EVRG,Evergy Inc.,Utilities,0.039024
EW,Edwards Lifesciences Corporation,Health Care,0.184033
EXC,Exelon Corporation,Utilities,0.128235
EXPD,Expeditors International of Washington Inc.,Industrials,0.053318
EXPE,Expedia Group Inc.,Consumer Discretionary,0.065396
EXR,Extra Space Storage Inc.,Real Estate,0.060939
F,Ford Motor Company,Consumer Discretionary,0.152119
FANG,Diamondback Energy Inc.,Energy,0.04809
FAST,Fastenal Company,Industrials,0.080613
FB,Facebook Inc. Class A,Communication Services,2.153256
FBHS,Fortune Brands Home & Security Inc.,Industrials,0.03449
FCX,Freeport-McMoRan Inc.,Materials,0.128286
FDX,FedEx Corporation,Industrials,0.149779
FE,FirstEnergy Corp.,Utilities,0.053774
FFIV,F5 Networks Inc.,Information Technology,0.032492
FIS,Fidelity National Information Services Inc.,Information Technology,0.201656
FISV,Fiserv Inc.,Information Technology,0.174653
FITB,Fifth Third Bancorp,Financials,0.082688
FLT,FLEETCOR Technologies Inc.,Information Technology,0.058455
FMC,FMC Corporation,Materials,0.032389
FOX,Fox Corporation Class B,Communication Services,0.015543
FOXA,Fox Corporation Class A,Communication Services,0.036762
FRC,First Republic Bank,Financials,0.096508
FRT,Federal Realty Investment Trust,Real Estate,0.022836
FTNT,Fortinet Inc.,Information Technology,0.109774
FTV,Fortive Corp.,Industrials,0.068975
GD,General Dynamics Corporation,Industrials,0.124079
GE,General Electric Company,Industrials,0.31237
GILD,Gilead Sciences Inc.,Health Care,0.229259
GIS,General Mills Inc.,Consumer Staples,0.101206
GL,Globe Life Inc.,Financials,0.023256
GLW,Corning Inc,Information Technology,0.076945
GM,General Motors Company,Consumer Discretionary,0.214013
GNRC,Generac Holdings Inc.,Industrials,0.069241
GOOG,Alphabet Inc. Class C,Communication Services,2.081447
GOOGL,Alphabet Inc. Class A,Communication Services,2.222052
GPC,Genuine Parts Company,Consumer Discretionary,0.048054
GPN,Global Payments Inc.,Information Technology,0.125612
GPS,Gap Inc.,Consumer Discretionary,0.013342
GRMN,Garmin Ltd.,Consumer Discretionary,0.064224
GS,Goldman Sachs Group Inc.,Financials,0.352829
GWW,W.W. Grainger Inc.,Industrials,0.047719
HAL,Halliburton Company,Energy,0.056875
HAS,Hasbro Inc.,Consumer Discretionary,0.030403
HBAN,Huntington Bancshares Incorporated,Financials,0.064245
HBI,Hanesbrands Inc.,Consumer Discretionary,0.016136
HCA,HCA Healthcare Inc,Health Care,0.16258
HD,Home Depot Inc.,Consumer Discretionary,0.950397
HES,Hess Corporation,Energy,0.062811
HIG,Hartford Financial Services Group Inc.,Financials,0.067806
HII,Huntington Ingalls Industries Inc.,Industrials,0.021459
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,0.105644
HOLX,Hologic Inc.,Health Care,0.048519
HON,Honeywell International Inc.,Industrials,0.404044
HPE,Hewlett Packard Enterprise Co.,Information Technology,0.053266
HPQ,HP Inc.,Information Technology,0.092227
HRL,Hormel Foods Corporation,Consumer Staples,0.031688
HSIC,Henry Schein Inc.,Health Care,0.029791
HST,Host Hotels & Resorts Inc.,Real Estate,0.031979
HSY,Hershey Company,Consumer Staples,0.068837
HUM,Humana Inc.,Health Care,0.135377
HWM,Howmet Aerospace Inc.,Industrials,0.033626
IBM,International Business Machines Corporation,Information Technology,0.348092
ICE,Intercontinental Exchange Inc.,Financials,0.180399
IDXX,IDEXX Laboratories Inc.,Health Care,0.141895
IEX,IDEX Corporation,Industrials,0.043776
IFF,International Flavors & Fragrances Inc.,Materials,0.091539
ILMN,Illumina Inc.,Health Care,0.154386
INCY,Incyte Corporation,Health Care,0.033359
INFO,IHS Markit Ltd.,Industrials,0.126881
INTC,Intel Corporation,Information Technology,0.593787
INTU,Intuit Inc.,Information Technology,0.395407
IP,International Paper Company,Materials,0.057617
IPG,Interpublic Group of Companies Inc.,Communication Services,0.040581
IPGP,IPG Photonics Corporation,Information Technology,0.015112
IQV,IQVIA Holdings Inc,Health Care,0.124411
IR,Ingersoll Rand Inc.,Industrials,0.056289
IRM,Iron Mountain Inc.,Real Estate,0.034878
ISRG,Intuitive Surgical Inc.,Health Care,0.319011
IT,Gartner Inc.,Information Technology,0.070962
ITW,Illinois Tool Works Inc.,Industrials,0.165261
IVZ,Invesco Ltd.,Financials,0.0235
J,Jacobs Engineering Group Inc.,Industrials,0.047028
JBHT,J.B. Hunt Transport Services Inc.,Industrials,0.038961
JCI,Johnson Controls International plc,Industrials,0.133845
JKHY,Jack Henry & Associates Inc.,Information Technology,0.033082
JNJ,Johnson & Johnson,Health Care,1.139662
JNPR,Juniper Networks Inc.,Information Technology,0.024716
JPM,JPMorgan Chase & Co.,Financials,1.367247
K,Kellogg Company,Consumer Staples,0.044108
KEY,KeyCorp,Financials,0.058895
KEYS,Keysight Technologies Inc,Information Technology,0.081342
KHC,Kraft Heinz Company,Consumer Staples,0.065646
KIM,Kimco Realty Corporation,Real Estate,0.035307
KLAC,KLA Corporation,Information Technology,0.137238
KMB,Kimberly-Clark Corporation,Consumer Staples,0.12053
KMI,Kinder Morgan Inc Class P,Energy,0.089472
KMX,CarMax Inc.,Consumer Discretionary,0.056085
